file_number,timestamp_sec,timestamp_hours,timestamp_days,n_persistence_pixels,persistence_fraction,persistence_strength,persistence_max,diff_mean,diff_std
53,37440,10.4,0.43333333333333335,80,4.787052745661973e-06,505.625,243246.17,0.0005613289,71.0545
54,38160,10.6,0.44166666666666665,34,2.0344974169063385e-06,-19207.87,1.0021144e+06,-0.041093793,252.66328
55,38880,10.8,0.45,165,9.873296287927818e-06,569.609,143875.75,0.0037149123,38.319756
56,39600,11.0,0.4583333333333333,175,1.0471677881135565e-05,743.1227,146113.84,0.0055960957,37.362232
57,40320,11.2,0.4666666666666667,122,7.300255437134508e-06,1953.8574,185613.16,0.011921874,49.86761
58,41040,11.4,0.475,98,5.864139613435917e-06,3284.8906,200672.9,0.016935064,63.96243
59,41760,11.6,0.48333333333333334,126,7.539608074417607e-06,828.28766,182998.19,0.0037968154,51.278522
60,42480,11.8,0.49166666666666664,95,5.684625135473593e-06,3363.7124,265112.44,0.01667519,66.28585
61,43200,12.0,0.5,47,2.812393488076409e-06,-6081.9946,546351.75,-0.019388802,147.49812
62,43920,12.2,0.5083333333333333,96,5.744463294794368e-06,-1442.5502,195272.8,-0.010575789,71.14196
63,44640,12.4,0.5166666666666667,110,6.582197525285213e-06,433.33804,233618.02,0.0001903536,64.730896
64,45360,12.6,0.525,122,7.300255437134508e-06,1651.244,197426.22,0.009672059,54.40959
65,46080,12.8,0.5333333333333333,243,1.4540672714948242e-05,-361.4278,94921.67,-0.0077985968,30.103642
66,46800,13.0,0.5416666666666666,107,6.402683047322889e-06,2853.5913,195635.5,0.015550281,57.87589
67,47520,13.2,0.55,110,6.582197525285213e-06,171.19557,233618.02,-0.0016959738,61.902534
68,48240,13.4,0.5583333333333333,124,7.4199317557760575e-06,2029.5109,233618.02,0.012298194,60.55778
69,48960,13.6,0.5666666666666667,111,6.642035684605987e-06,-193.06314,233618.02,-0.0040286304,62.795742
70,49680,13.8,0.575,48,2.872231647397184e-06,13096.735,592302.44,0.034904677,160.79742
71,50400,14.0,0.5833333333333334,92,5.505110657511269e-06,3095.1624,233618.02,0.014337333,76.28027
72,51120,14.2,0.5916666666666667,131,7.83879887102148e-06,521.09393,152558.92,0.0012408134,47.951374
