file_number,timestamp_sec,timestamp_hours,timestamp_days,exposure_time,n_resultants,mean_slope,median_slope,std_slope,min_slope,max_slope,n_saturated_pixels,saturation_fraction,n_saturated_with_neighbors,saturation_fraction_with_neighbors,n_valid_pixels,ma_table_number,frame_time,read_noise_used,detector,optical_element
1,0,0.0,0.0,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,16777216
2,720,0.2,0.008333333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24712,0.0014729499816894531,16777216
3,1440,0.4,0.016666666666666666,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24723,0.0014736056327819824,16777216
4,2160,0.6,0.025,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24704,0.00147247314453125,16777216
5,2880,0.8,0.03333333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24718,0.0014733076095581055,16777216
6,3600,1.0,0.041666666666666664,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24695,0.0014719367027282715,16777216
7,4320,1.2,0.05,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24693,0.0014718174934387207,16777216
8,5040,1.4,0.058333333333333334,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24691,0.00147169828414917,16777216
9,5760,1.6,0.06666666666666667,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24696,0.0014719963073730469,16777216
10,6480,1.8,0.075,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24691,0.00147169828414917,16777216
11,7200,2.0,0.08333333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24728,0.0014739036560058594,16777216
12,7920,2.2,0.09166666666666666,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24702,0.0014723539352416992,16777216
13,8640,2.4,0.1,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24726,0.0014737844467163086,16777216
14,9360,2.6,0.10833333333333334,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24685,0.0014713406562805176,16777216
15,10080,2.8,0.11666666666666667,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24715,0.0014731287956237793,16777216
16,10800,3.0,0.125,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24709,0.001472771167755127,16777216
17,11520,3.2,0.13333333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24710,0.0014728307723999023,16777216
18,12240,3.4,0.14166666666666666,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24707,0.0014726519584655762,16777216
19,12960,3.6,0.15,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24716,0.0014731884002685547,16777216
20,13680,3.8,0.15833333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24702,0.0014723539352416992,16777216
21,14400,4.0,0.16666666666666666,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24688,0.0014715194702148438,16777216
22,15120,4.2,0.175,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24697,0.0014720559120178223,16777216
23,15840,4.4,0.18333333333333332,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24720,0.0014734268188476562,16777216
24,16560,4.6,0.19166666666666668,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24694,0.001471877098083496,16777216
25,17280,4.8,0.2,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24742,0.0014747381210327148,16777216
26,18000,5.0,0.20833333333333334,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24719,0.0014733672142028809,16777216
27,18720,5.2,0.21666666666666667,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24711,0.0014728903770446777,16777216
28,19440,5.4,0.225,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24685,0.0014713406562805176,16777216
29,20160,5.6,0.23333333333333334,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24715,0.0014731287956237793,16777216
30,20880,5.8,0.24166666666666667,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24700,0.0014722347259521484,16777216
31,21600,6.0,0.25,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24701,0.0014722943305969238,16777216
32,22320,6.2,0.25833333333333336,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24718,0.0014733076095581055,16777216
33,23040,6.4,0.26666666666666666,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24691,0.00147169828414917,16777216
34,23760,6.6,0.275,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24702,0.0014723539352416992,16777216
35,24480,6.8,0.2833333333333333,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24713,0.0014730095863342285,16777216
36,25200,7.0,0.2916666666666667,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24724,0.0014736652374267578,16777216
37,25920,7.2,0.3,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24651,0.0014693140983581543,16777216
38,26640,7.4,0.30833333333333335,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24725,0.0014737248420715332,16777216
39,27360,7.6,0.31666666666666665,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24685,0.0014713406562805176,16777216
40,28080,7.8,0.325,56.92447,5,0.0,0.0,0.0,0.0,0.0,0,0.0,24719,0.0014733672142028809,16777216
